year,sprout,N,N1
2010,1,18,13
,2,7,7
,3,10,10
,4,17,15
,5,10,10
,6,12,12
,7,25,19
,8,9,9
,9,23,12
,10,9,8
2009,1,13,12
,2,13,10
,3,19,16
,4,9,9
,5,10,10
,6,20,17
,7,7,7
,8,13,13
,9,13,13
,10,18,15
2016,1,13,13
,2,6,6
,3,12,8
,4,16,15
,5,14,14
,6,10,10
,7,10,10
,8,11,11
,9,22,18
,10,6,6
